Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region"
" -> Total -> Total Midwest Region -> Total Black or African American alone -> Total 35-44","913101","438894","474207"
"No high school diploma","99905","51716","48189"
"High school diploma","274842","160744","114098"
"Some college","236876","107877","128999"
"Associate degree","91596","33519","58077"
"Bachelor's degree","125364","56352","69012"
"Master's degree","70328","22487","47841"
"Professional degree","7972","3378","4594"
"Doctorate","6218","2821","3397"
" -> Total -> Total Midwest Region -> Total Black or African American alone -> Total 45-54","838309","396742","441567"
"No high school diploma","96973","48628","48345"
"High school diploma","276093","153984","122109"
"Some college","212972","95821","117151"
"Associate degree","74770","28360","46410"
"Bachelor's degree","99352","39564","59788"
"Master's degree","65069","24904","40165"
"Professional degree","7242","2444","4798"
"Doctorate","5838","3037","2801"
" -> Total -> Total Midwest Region -> Total Black or African American alone -> Total 55-64","827380","382654","444726"
"No high school diploma","121720","61741","59979"
"High school diploma","268221","143451","124770"
"Some college","212992","93754","119238"
"Associate degree","68734","22966","45768"
"Bachelor's degree","94271","39248","55023"
"Master's degree","45289","13963","31326"
"Professional degree","9281","3822","5459"
"Doctorate","6872","3709","3163"
" -> Total -> Total Midwest Region -> Total American Indian alone","351115","176664","174451"
" -> Total -> Total Midwest Region -> Total American Indian alone -> Total 65+","35353","16245","19108"
"No high school diploma","7276","3742","3534"
"High school diploma","10740","5075","5665"
"Some college","8453","3079","5374"
"Associate degree","3965","1322","2643"
"Bachelor's degree","3270","2225","1045"
"Master's degree","1213","564","649"
"Professional degree","107","107","0"
"Doctorate","329","131","198"
" -> Total -> Total Midwest Region -> Total American Indian alone -> Total Under 18","101877","51202","50675"
"No high school diploma","101556","51100","50456"
"High school diploma","283","64","219"
"Some college","38","38","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian alone -> Total 18-24","33528","17254","16274"
"No high school diploma","9590","3563","6027"
"High school diploma","13801","8280","5521"
"Some college","7635","3747","3888"
"Associate degree","841","639","202"
"Bachelor's degree","1043","407","636"
"Master's degree","618","618","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian alone -> Total 25-34","51890","28363","23527"
"No high school diploma","8427","5434","2993"
"High school diploma","16870","9811","7059"
"Some college","14194","7128","7066"
"Associate degree","4880","1855","3025"
"Bachelor's degree","4793","2458","2335"
"Master's degree","2293","1393","900"
"Professional degree","433","284","149"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian alone -> Total 35-44","45109","23774","21335"
"No high school diploma","7531","5432","2099"
"High school diploma","12079","7506","4573"
"Some college","13260","6034","7226"
"Associate degree","4302","1449","2853"
"Bachelor's degree","5423","2283","3140"
"Master's degree","2092","832","1260"
"Professional degree","238","238","0"
"Doctorate","184","0","184"
" -> Total -> Total Midwest Region -> Total American Indian alone -> Total 45-54","43125","20813","22312"
"No high school diploma","4623","2369","2254"
"High school diploma","15095","7620","7475"
"Some college","11742","5310","6432"
"Associate degree","4768","2568","2200"
"Bachelor's degree","3412","1576","1836"
"Master's degree","2296","954","1342"
"Professional degree","782","416","366"
"Doctorate","407","0","407"
" -> Total -> Total Midwest Region -> Total American Indian alone -> Total 55-64","40233","19013","21220"
"No high school diploma","6096","2940","3156"
"High school diploma","14072","6569","7503"
"Some college","8815","4855","3960"
"Associate degree","4403","1576","2827"
"Bachelor's degree","3755","1661","2094"
"Master's degree","2540","1412","1128"
"Professional degree","201","0","201"
"Doctorate","351","0","351"
" -> Total -> Total Midwest Region -> Total Alaska Native alone","2504","963","1541"
" -> Total -> Total Midwest Region -> Total Alaska Native alone -> Total 65+","301","31","270"
"No high school diploma","0","0","0"
"High school diploma","157","0","157"
"Some college","113","31","82"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","31","0","31"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Alaska Native alone -> Total Under 18","409","173","236"
"No high school diploma","409","173","236"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Alaska Native alone -> Total 18-24","418","149","269"
"No high school diploma","269","0","269"
"High school diploma","149","149","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Alaska Native alone -> Total 25-34","334","161","173"
"No high school diploma","0","0","0"
"High school diploma","173","0","173"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","161","161","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Alaska Native alone -> Total 35-44","228","46","182"
"No high school diploma","119","0","119"
"High school diploma","0","0","0"
"Some college","46","46","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","63","0","63"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Alaska Native alone -> Total 45-54","428","125","303"
"No high school diploma","0","0","0"
"High school diploma","117","0","117"
"Some college","311","125","186"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Alaska Native alone -> Total 55-64","386","278","108"
"No high school diploma","93","93","0"
"High school diploma","177","115","62"
"Some college","46","0","46"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","70","70","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","84944","41387","43557"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 65+","7270","2638","4632"
"No high school diploma","1632","599","1033"
"High school diploma","1601","655","946"
"Some college","1478","595","883"
"Associate degree","1510","347","1163"
"Bachelor's degree","89","69","20"
"Master's degree","925","373","552"
"Professional degree","0","0","0"
"Doctorate","35","0","35"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total Under 18","25011","12213","12798"
"No high school diploma","25011","12213","12798"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 18-24","10523","4632","5891"
"No high school diploma","3026","1169","1857"
"High school diploma","4721","2737","1984"
"Some college","2042","679","1363"
"Associate degree","641","47","594"
"Bachelor's degree","93","0","93"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 25-34","10125","4377","5748"
"No high school diploma","1861","1380","481"
"High school diploma","3783","1699","2084"
"Some college","2750","995","1755"
"Associate degree","380","185","195"
"Bachelor's degree","826","113","713"
"Master's degree","520","0","520"
"Professional degree","5","5","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 35-44","9515","4773","4742"
"No high school diploma","2326","1040","1286"
"High school diploma","3324","2290","1034"
"Some college","1849","529","1320"
"Associate degree","1022","716","306"
"Bachelor's degree","955","198","757"
"Master's degree","39","0","39"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 45-54","11194","6753","4441"
"No high school diploma","1790","1168","622"
"High school diploma","5394","3374","2020"
"Some college","1178","244","934"
"Associate degree","1051","869","182"
"Bachelor's degree","1314","914","400"
"Master's degree","306","184","122"
"Professional degree","0","0","0"
"Doctorate","161","0","161"
" -> Total -> Total Midwest Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 55-64","11306","6001","5305"
"No high school diploma","1982","976","1006"
"High school diploma","4028","2761","1267"
"Some college","2011","851","1160"
"Associate degree","1719","511","1208"
"Bachelor's degree","1021","552","469"
"Master's degree","421","226","195"
"Professional degree","0","0","0"
"Doctorate","124","124","0"
" -> Total -> Total Midwest Region -> Total Asian alone","2288353","1095924","1192429"
" -> Total -> Total Midwest Region -> Total Asian alone -> Total 65+","224447","99902","124545"
"No high school diploma","56068","20194","35874"
"High school diploma","36954","11247","25707"
"Some college","18642","8975","9667"
"Associate degree","11685","4690","6995"
"Bachelor's degree","56765","26888","29877"
"Master's degree","21763","12239","9524"
"Professional degree","13683","10005","3678"
"Doctorate","8887","5664","3223"
" -> Total -> Total Midwest Region -> Total Asian alone -> Total Under 18","486251","238075","248176"
"No high school diploma","484389","237150","247239"
"High school diploma","1390","818","572"
"Some college","472","107","365"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Asian alone -> Total 18-24","269827","134949","134878"
"No high school diploma","21470","9625","11845"
"High school diploma","56669","31741","24928"
"Some college","118405","60835","57570"
"Associate degree","10221","4808","5413"
"Bachelor's degree","53447","24616","28831"
"Master's degree","8324","2868","5456"
"Professional degree","506","284","222"
"Doctorate","785","172","613"
" -> Total -> Total Midwest Region -> Total Asian alone -> Total 25-34","420753","207518","213235"
"No high school diploma","25441","8403","17038"
"High school diploma","37548","17259","20289"
"Some college","51976","31219","20757"
"Associate degree","23063","11478","11585"
"Bachelor's degree","147893","71145","76748"
"Master's degree","96167","46951","49216"
"Professional degree","22259","10796","11463"
"Doctorate","16406","10267","6139"
" -> Total -> Total Midwest Region -> Total Asian alone -> Total 35-44","388583","183647","204936"
"No high school diploma","38054","14257","23797"
"High school diploma","41605","19934","21671"
"Some college","30983","11527","19456"
"Associate degree","17983","7649","10334"
"Bachelor's degree","120635","57233","63402"
"Master's degree","90392","46601","43791"
"Professional degree","20721","10270","10451"
"Doctorate","28210","16176","12034"
" -> Total -> Total Midwest Region -> Total Asian alone -> Total 45-54","295614","140132","155482"
"No high school diploma","33598","14118","19480"
"High school diploma","40744","19346","21398"
"Some college","25089","9905","15184"
"Associate degree","18478","7818","10660"
"Bachelor's degree","84983","37999","46984"
"Master's degree","60890","32474","28416"
"Professional degree","14151","7584","6567"
"Doctorate","17681","10888","6793"
" -> Total -> Total Midwest Region -> Total Asian alone -> Total 55-64","202878","91701","111177"
"No high school diploma","40282","15721","24561"
"High school diploma","39009","15056","23953"
"Some college","20349","10016","10333"
"Associate degree","11486","4576","6910"
"Bachelor's degree","46299","18213","28086"
"Master's degree","23134","13257","9877"
"Professional degree","9335","5313","4022"
"Doctorate","12984","9549","3435"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone","35467","18844","16623"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 65+","2792","1588","1204"
"No high school diploma","499","120","379"
"High school diploma","471","266","205"
"Some college","697","414","283"
"Associate degree","268","268","0"
"Bachelor's degree","30","0","30"
"Master's degree","39","0","39"
"Professional degree","0","0","0"
"Doctorate","788","520","268"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total Under 18","7922","4127","3795"
"No high school diploma","7922","4127","3795"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 18-24","6965","3476","3489"
"No high school diploma","538","501","37"
"High school diploma","4972","2471","2501"
"Some college","1240","366","874"
"Associate degree","0","0","0"
"Bachelor's degree","215","138","77"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 25-34","6353","4205","2148"
"No high school diploma","565","462","103"
"High school diploma","1456","679","777"
"Some college","2428","1768","660"
"Associate degree","478","301","177"
"Bachelor's degree","896","639","257"
"Master's degree","308","134","174"
"Professional degree","222","222","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 35-44","2718","1436","1282"
"No high school diploma","60","60","0"
"High school diploma","79","0","79"
"Some college","916","629","287"
"Associate degree","365","300","65"
"Bachelor's degree","1047","252","795"
"Master's degree","142","86","56"
"Professional degree","109","109","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 45-54","4434","1929","2505"
"No high school diploma","975","286","689"
"High school diploma","1140","711","429"
"Some college","558","124","434"
"Associate degree","807","539","268"
"Bachelor's degree","611","269","342"
"Master's degree","69","0","69"
"Professional degree","101","0","101"
"Doctorate","173","0","173"
" -> Total -> Total Midwest Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 55-64","4283","2083","2200"
"No high school diploma","879","538","341"
"High school diploma","1332","421","911"
"Some college","235","85","150"
"Associate degree","272","0","272"
"Bachelor's degree","396","396","0"
"Master's degree","385","246","139"
"Professional degree","283","283","0"
"Doctorate","501","114","387"
" -> Total -> Total Midwest Region -> Total Some other race alone","1570861","800727","770134"
" -> Total -> Total Midwest Region -> Total Some other race alone -> Total 65+","71087","29293","41794"
"No high school diploma","32597","14402","18195"
"High school diploma","20634","8713","11921"
"Some college","9354","3339","6015"
"Associate degree","3528","963","2565"
"Bachelor's degree","2994","971","2023"
"Master's degree","840","397","443"
"Professional degree","597","309","288"
"Doctorate","543","199","344"
" -> Total -> Total Midwest Region -> Total Some other race alone -> Total Under 18","494891","247798","247093"
"No high school diploma","491087","245837","245250"
"High school diploma","1855","1122","733"
"Some college","1568","458","1110"
"Associate degree","381","381","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Some other race alone -> Total 18-24","189227","97873","91354"
"No high school diploma","28164","17129","11035"
"High school diploma","68177","39495","28682"
"Some college","66831","28419","38412"
"Associate degree","11090","5983","5107"
"Bachelor's degree","13787","6484","7303"
"Master's degree","1178","363","815"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Some other race alone -> Total 25-34","256037","133395","122642"
"No high school diploma","54570","31480","23090"
"High school diploma","73683","41825","31858"
"Some college","61262","27654","33608"
"Associate degree","17726","7996","9730"
"Bachelor's degree","40200","20275","19925"
"Master's degree","5862","2487","3375"
"Professional degree","1970","1092","878"
"Doctorate","764","586","178"
" -> Total -> Total Midwest Region -> Total Some other race alone -> Total 35-44","241525","128787","112738"
"No high school diploma","86262","47948","38314"
"High school diploma","80407","42268","38139"
"Some college","33566","18888","14678"
"Associate degree","14603","6596","8007"
"Bachelor's degree","17031","8689","8342"
"Master's degree","6819","2949","3870"
"Professional degree","2033","904","1129"
"Doctorate","804","545","259"
" -> Total -> Total Midwest Region -> Total Some other race alone -> Total 45-54","207616","107802","99814"
"No high school diploma","71524","36919","34605"
"High school diploma","63618","35071","28547"
"Some college","35387","18503","16884"
"Associate degree","16927","7662","9265"
"Bachelor's degree","11069","4520","6549"
"Master's degree","6559","2883","3676"
"Professional degree","1643","1355","288"
"Doctorate","889","889","0"
" -> Total -> Total Midwest Region -> Total Some other race alone -> Total 55-64","110478","55779","54699"
"No high school diploma","46781","24559","22222"
"High school diploma","32754","15537","17217"
"Some college","15107","8327","6780"
"Associate degree","4613","2308","2305"
"Bachelor's degree","8946","3723","5223"
"Master's degree","1753","1072","681"
"Professional degree","258","210","48"
"Doctorate","266","43","223"
" -> Total -> Total Midwest Region -> Total Two or More Races","1968820","980295","988525"
" -> Total -> Total Midwest Region -> Total Two or More Races -> Total 65+","78162","33835","44327"
"No high school diploma","15399","6082","9317"
"High school diploma","20189","8476","11713"
"Some college","21081","8437","12644"
"Associate degree","4002","1636","2366"
"Bachelor's degree","9327","3934","5393"
"Master's degree","5468","3221","2247"
"Professional degree","1696","1137","559"
"Doctorate","1000","912","88"
" -> Total -> Total Midwest Region -> Total Two or More Races -> Total Under 18","953045","491699","461346"
"No high school diploma","950350","490627","459723"
"High school diploma","2110","772","1338"
"Some college","585","300","285"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Two or More Races -> Total 18-24","265421","132819","132602"
"No high school diploma","39491","20357","19134"
"High school diploma","91437","49607","41830"
"Some college","102567","49765","52802"
"Associate degree","9180","3082","6098"
"Bachelor's degree","20279","9305","10974"
"Master's degree","1776","703","1073"
"Professional degree","691","0","691"
"Doctorate","0","0","0"
" -> Total -> Total Midwest Region -> Total Two or More Races -> Total 25-34","274669","137322","137347"
"No high school diploma","18875","9858","9017"
"High school diploma","67623","41455","26168"
"Some college","73764","35322","38442"
"Associate degree","27837","11070","16767"
"Bachelor's degree","57903","27763","30140"
"Master's degree","20519","6668","13851"
"Professional degree","4478","2930","1548"
"Doctorate","3670","2256","1414"
" -> Total -> Total Midwest Region -> Total Two or More Races -> Total 35-44","178262","82242","96020"
"No high school diploma","16759","9839","6920"
"High school diploma","40589","20849","19740"
"Some college","46114","21970","24144"
"Associate degree","16483","6345","10138"
"Bachelor's degree","38117","14607","23510"
"Master's degree","14192","5999","8193"
"Professional degree","2690","1308","1382"
"Doctorate","3318","1325","1993"
" -> Total -> Total Midwest Region -> Total Two or More Races -> Total 45-54","124888","60359","64529"
"No high school diploma","13975","7760","6215"
"High school diploma","30242","16489","13753"
"Some college","24408","12306","12102"
"Associate degree","15236","5990","9246"
"Bachelor's degree","23708","10547","13161"
"Master's degree","11916","3675","8241"
"Professional degree","2885","1901","984"
"Doctorate","2518","1691","827"
" -> Total -> Total Midwest Region -> Total Two or More Races -> Total 55-64","94373","42019","52354"
"No high school diploma","11279","5647","5632"
"High school diploma","23255","10625","12630"
"Some college","22652","10055","12597"
"Associate degree","12682","4777","7905"
"Bachelor's degree","14662","6423","8239"
"Master's degree","6533","2330","4203"
"Professional degree","1809","1498","311"
"Doctorate","1501","664","837"
" -> Total -> Total South Region","125580448","61510572","64069876"
" -> Total -> Total South Region -> Total White alone","87863359","43336791","44526568"
" -> Total -> Total South Region -> Total White alone -> Total 65+","16559542","7460698","9098844"
"No high school diploma","2280520","1007455","1273065"
"High school diploma","5081963","1955236","3126727"
"Some college","3326100","1467535","1858565"
"Associate degree","1089482","462629","626853"
"Bachelor's degree","2670205","1399327","1270878"
"Master's degree","1435016","692741","742275"
"Professional degree","394484","282191","112293"
"Doctorate","281772","193584","88188"
" -> Total -> Total South Region -> Total White alone -> Total Under 18","18328150","9396409","8931741"
"No high school diploma","18237799","9355233","8882566"
"High school diploma","61313","29192","32121"
"Some college","28291","11456","16835"
"Associate degree","747","528","219"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total White alone -> Total 18-24","7612073","3931558","3680515"
"No high school diploma","958016","557898","400118"
"High school diploma","2552794","1471087","1081707"
"Some college","2769113","1330513","1438600"
"Associate degree","485889","220320","265569"
"Bachelor's degree","788646","330403","458243"
"Master's degree","48793","17813","30980"
"Professional degree","7098","3236","3862"
"Doctorate","1724","288","1436"
" -> Total -> Total South Region -> Total White alone -> Total 25-34","11416053","5783194","5632859"
"No high school diploma","979610","563327","416283"
"High school diploma","2893657","1675382","1218275"
"Some college","2456724","1265291","1191433"
"Associate degree","1061152","485271","575881"
"Bachelor's degree","2878246","1331980","1546266"
"Master's degree","837265","319780","517485"
"Professional degree","203179","96433","106746"
"Doctorate","106220","45730","60490"
" -> Total -> Total South Region -> Total White alone -> Total 35-44","10953256","5490220","5463036"
"No high school diploma","1229162","707200","521962"
"High school diploma","2667004","1524463","1142541"
"Some college","2097330","1048821","1048509"
"Associate degree","1029009","456243","572766"
"Bachelor's degree","2442493","1126265","1316228"
"Master's degree","1073199","426245","646954"
"Professional degree","256851","125812","131039"
"Doctorate","158208","75171","83037"
" -> Total -> Total South Region -> Total White alone -> Total 45-54","11122400","5530881","5591519"
"No high school diploma","1241876","703152","538724"
"High school diploma","2931375","1567610","1363765"
"Some college","2145493","1060302","1085191"
"Associate degree","1015378","436995","578383"
"Bachelor's degree","2356464","1095542","1260922"
"Master's degree","1047689","461724","585965"
"Professional degree","242910","128696","114214"
"Doctorate","141215","76860","64355"
" -> Total -> Total South Region -> Total White alone -> Total 55-64","11871885","5743831","6128054"
"No high school diploma","1307280","709940","597340"
"High school diploma","3513344","1757696","1755648"
"Some college","2417430","1125655","1291775"
"Associate degree","1067757","422615","645142"
"Bachelor's degree","2224909","1060944","1163965"
"Master's degree","935907","424856","511051"
"Professional degree","256580","154027","102553"
"Doctorate","148678","88098","60580"
" -> Total -> Total South Region -> Total Black or African American alone","24358827","11552846","12805981"
" -> Total -> Total South Region -> Total Black or African American alone -> Total 65+","2939904","1195789","1744115"
"No high school diploma","707366","297695","409671"
"High school diploma","967635","392857","574778"
"Some college","575876","231555","344321"
"Associate degree","184315","73617","110698"
"Bachelor's degree","273803","108852","164951"
"Master's degree","176435","60687","115748"
"Professional degree","24967","14334","10633"
"Doctorate","29507","16192","13315"
" -> Total -> Total South Region -> Total Black or African American alone -> Total Under 18","5952046","3044814","2907232"
"No high school diploma","5918549","3029239","2889310"
"High school diploma","23217","11258","11959"
"Some college","9812","4058","5754"
"Associate degree","468","259","209"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Black or African American alone -> Total 18-24","2590948","1305720","1285228"
"No high school diploma","356006","211816","144190"
"High school diploma","921012","510697","410315"
"Some college","1034948","474590","560358"
"Associate degree","99324","42795","56529"
"Bachelor's degree","168115","62714","105401"
"Master's degree","9035","2230","6805"
"Professional degree","1407","878","529"
"Doctorate","1101","0","1101"
" -> Total -> Total South Region -> Total Black or African American alone -> Total 25-34","3637582","1751498","1886084"
"No high school diploma","330853","197018","133835"
"High school diploma","1152308","645071","507237"
"Some college","979036","443990","535046"
"Associate degree","322549","129210","193339"
"Bachelor's degree","616800","258969","357831"
"Master's degree","185915","58331","127584"
"Professional degree","32042","12211","19831"
"Doctorate","18079","6698","11381"
" -> Total -> Total South Region -> Total Black or African American alone -> Total 35-44","3281937","1531830","1750107"
"No high school diploma","323837","180920","142917"
"High school diploma","969337","542531","426806"
"Some college","764334","341838","422496"
"Associate degree","352607","131437","221170"
"Bachelor's degree","506473","218997","287476"
"Master's degree","296907","93575","203332"
"Professional degree","38012","13309","24703"
"Doctorate","30430","9223","21207"
" -> Total -> Total South Region -> Total Black or African American alone -> Total 45-54","3025554","1395738","1629816"
"No high school diploma","312643","167883","144760"
"High school diploma","1002645","538962","463683"
"Some college","664410","284310","380100"
"Associate degree","290807","113527","177280"
"Bachelor's degree","420302","177359","242943"
"Master's degree","267081","86163","180918"
"Professional degree","35037","12848","22189"
"Doctorate","32629","14686","17943"
" -> Total -> Total South Region -> Total Black or African American alone -> Total 55-64","2930856","1327457","1603399"
"No high school diploma","413731","211164","202567"
"High school diploma","1015455","510753","504702"
"Some college","678695","285446","393249"
"Associate degree","249694","95002","154692"
"Bachelor's degree","349742","136801","212941"
"Master's degree","177391","64982","112409"
"Professional degree","24271","10955","13316"
"Doctorate","21877","12354","9523"
" -> Total -> Total South Region -> Total American Indian alone","717997","353624","364373"
" -> Total -> Total South Region -> Total American Indian alone -> Total 65+","81135","37823","43312"
"No high school diploma","16545","8305","8240"
"High school diploma","24897","10777","14120"
"Some college","18312","8065","10247"
"Associate degree","6533","2963","3570"
"Bachelor's degree","8956","5097","3859"
"Master's degree","4338","1551","2787"
"Professional degree","1054","655","399"
"Doctorate","500","410","90"
" -> Total -> Total South Region -> Total American Indian alone -> Total Under 18","176807","89949","86858"
"No high school diploma","176656","89901","86755"
"High school diploma","104","20","84"
"Some college","47","28","19"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian alone -> Total 18-24","80020","39864","40156"
"No high school diploma","15537","8137","7400"
"High school diploma","31462","18097","13365"
"Some college","24360","10945","13415"
"Associate degree","3017","823","2194"
"Bachelor's degree","5115","1670","3445"
"Master's degree","529","192","337"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total American Indian alone -> Total 25-34","100169","49675","50494"
"No high school diploma","15818","9805","6013"
"High school diploma","31557","17644","13913"
"Some college","26336","12187","14149"
"Associate degree","8456","3034","5422"
"Bachelor's degree","12954","5145","7809"
"Master's degree","4831","1725","3106"
"Professional degree","142","135","7"
"Doctorate","75","0","75"
" -> Total -> Total South Region -> Total American Indian alone -> Total 35-44","94386","47270","47116"
"No high school diploma","17281","10530","6751"
"High school diploma","25996","15057","10939"
"Some college","21434","8866","12568"
"Associate degree","11484","5448","6036"
"Bachelor's degree","13172","5583","7589"
"Master's degree","4106","1474","2632"
"Professional degree","201","0","201"
"Doctorate","712","312","400"
" -> Total -> Total South Region -> Total American Indian alone -> Total 45-54","90168","44484","45684"
"No high school diploma","10807","5788","5019"
"High school diploma","31206","16719","14487"
"Some college","20810","10759","10051"
"Associate degree","8097","2864","5233"
"Bachelor's degree","13389","6054","7335"
"Master's degree","5308","2128","3180"
"Professional degree","86","0","86"
"Doctorate","465","172","293"
" -> Total -> Total South Region -> Total American Indian alone -> Total 55-64","95312","44559","50753"
"No high school diploma","16144","7886","8258"
"High school diploma","31167","13966","17201"
"Some college","19812","9249","10563"
"Associate degree","10888","4281","6607"
"Bachelor's degree","8780","4545","4235"
"Master's degree","6741","3784","2957"
"Professional degree","1036","494","542"
"Doctorate","744","354","390"
" -> Total -> Total South Region -> Total Alaska Native alone","3727","1821","1906"
" -> Total -> Total South Region -> Total Alaska Native alone -> Total 65+","88","0","88"
"No high school diploma","0","0","0"
"High school diploma","0","0","0"
"Some college","50","0","50"
"Associate degree","0","0","0"
"Bachelor's degree","38","0","38"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Alaska Native alone -> Total Under 18","1173","629","544"
"No high school diploma","1173","629","544"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Alaska Native alone -> Total 18-24","309","40","269"
"No high school diploma","159","40","119"
"High school diploma","0","0","0"
"Some college","150","0","150"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total South Region -> Total Alaska Native alone -> Total 25-34","292","45","247"
"No high school diploma","87","0","87"
"High school diploma","0","0","0"
"Some college","45","45","0"
