Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region"
"No high school diploma","966","813","153"
"High school diploma","5152","3592","1560"
"Some college","1835","801","1034"
"Associate degree","316","40","276"
"Bachelor's degree","2545","1651","894"
"Master's degree","70","0","70"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total American Indian alone -> Total 25-34","15740","7383","8357"
"No high school diploma","3587","1493","2094"
"High school diploma","5235","2803","2432"
"Some college","3154","1698","1456"
"Associate degree","680","587","93"
"Bachelor's degree","2181","455","1726"
"Master's degree","443","236","207"
"Professional degree","349","0","349"
"Doctorate","111","111","0"
" -> Total -> Total Northeast Region -> Total American Indian alone -> Total 35-44","12827","6319","6508"
"No high school diploma","2524","1059","1465"
"High school diploma","3795","2341","1454"
"Some college","2686","888","1798"
"Associate degree","858","596","262"
"Bachelor's degree","1973","1119","854"
"Master's degree","472","229","243"
"Professional degree","327","0","327"
"Doctorate","192","87","105"
" -> Total -> Total Northeast Region -> Total American Indian alone -> Total 45-54","19517","11193","8324"
"No high school diploma","2797","1716","1081"
"High school diploma","4933","3888","1045"
"Some college","5431","3126","2305"
"Associate degree","2396","1351","1045"
"Bachelor's degree","2860","808","2052"
"Master's degree","769","173","596"
"Professional degree","305","105","200"
"Doctorate","26","26","0"
" -> Total -> Total Northeast Region -> Total American Indian alone -> Total 55-64","14456","7333","7123"
"No high school diploma","2428","1362","1066"
"High school diploma","5499","3075","2424"
"Some college","3555","2059","1496"
"Associate degree","972","512","460"
"Bachelor's degree","1273","325","948"
"Master's degree","413","0","413"
"Professional degree","157","0","157"
"Doctorate","159","0","159"
" -> Total -> Total Northeast Region -> Total Alaska Native alone","732","144","588"
" -> Total -> Total Northeast Region -> Total Alaska Native alone -> Total 65+","0","0","0"
"No high school diploma","0","0","0"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Alaska Native alone -> Total Under 18","203","54","149"
"No high school diploma","203","54","149"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Alaska Native alone -> Total 18-24","0","0","0"
"No high school diploma","0","0","0"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Alaska Native alone -> Total 25-34","113","0","113"
"No high school diploma","0","0","0"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","77","0","77"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","36","0","36"
" -> Total -> Total Northeast Region -> Total Alaska Native alone -> Total 35-44","90","90","0"
"No high school diploma","41","41","0"
"High school diploma","49","49","0"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Alaska Native alone -> Total 45-54","158","0","158"
"No high school diploma","0","0","0"
"High school diploma","0","0","0"
"Some college","0","0","0"
"Associate degree","158","0","158"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Alaska Native alone -> Total 55-64","168","0","168"
"No high school diploma","0","0","0"
"High school diploma","23","0","23"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","145","0","145"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","52377","25993","26384"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 65+","6556","2403","4153"
"No high school diploma","1675","296","1379"
"High school diploma","2261","570","1691"
"Some college","1186","668","518"
"Associate degree","239","140","99"
"Bachelor's degree","584","272","312"
"Master's degree","373","373","0"
"Professional degree","238","84","154"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total Under 18","11646","6305","5341"
"No high school diploma","11589","6305","5284"
"High school diploma","57","0","57"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 18-24","6915","3361","3554"
"No high school diploma","1431","445","986"
"High school diploma","2181","1370","811"
"Some college","1980","881","1099"
"Associate degree","402","45","357"
"Bachelor's degree","921","620","301"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 25-34","6565","3950","2615"
"No high school diploma","660","284","376"
"High school diploma","2682","1858","824"
"Some college","1540","919","621"
"Associate degree","654","225","429"
"Bachelor's degree","676","311","365"
"Master's degree","353","353","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 35-44","5737","3345","2392"
"No high school diploma","1608","1000","608"
"High school diploma","732","493","239"
"Some college","1581","1174","407"
"Associate degree","791","122","669"
"Bachelor's degree","904","435","469"
"Master's degree","121","121","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 45-54","7285","3522","3763"
"No high school diploma","2423","1050","1373"
"High school diploma","1105","277","828"
"Some college","1389","986","403"
"Associate degree","411","312","99"
"Bachelor's degree","1325","704","621"
"Master's degree","553","114","439"
"Professional degree","0","0","0"
"Doctorate","79","79","0"
" -> Total -> Total Northeast Region -> Total American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races -> Total 55-64","7673","3107","4566"
"No high school diploma","2087","825","1262"
"High school diploma","1711","746","965"
"Some college","2027","679","1348"
"Associate degree","295","0","295"
"Bachelor's degree","1152","571","581"
"Master's degree","303","188","115"
"Professional degree","0","0","0"
"Doctorate","98","98","0"
" -> Total -> Total Northeast Region -> Total Asian alone","3730992","1785136","1945856"
" -> Total -> Total Northeast Region -> Total Asian alone -> Total 65+","445951","199145","246806"
"No high school diploma","144981","56522","88459"
"High school diploma","81872","32926","48946"
"Some college","33060","14889","18171"
"Associate degree","20760","9889","10871"
"Bachelor's degree","91664","41751","49913"
"Master's degree","37968","21278","16690"
"Professional degree","21101","11652","9449"
"Doctorate","14545","10238","4307"
" -> Total -> Total Northeast Region -> Total Asian alone -> Total Under 18","711663","365992","345671"
"No high school diploma","705900","363349","342551"
"High school diploma","4964","2391","2573"
"Some college","749","252","497"
"Associate degree","50","0","50"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Asian alone -> Total 18-24","366978","180765","186213"
"No high school diploma","22796","11544","11252"
"High school diploma","81148","42942","38206"
"Some college","146940","72927","74013"
"Associate degree","13619","6142","7477"
"Bachelor's degree","89055","41040","48015"
"Master's degree","11557","5252","6305"
"Professional degree","1154","833","321"
"Doctorate","709","85","624"
" -> Total -> Total Northeast Region -> Total Asian alone -> Total 25-34","644423","309527","334896"
"No high school diploma","31147","13272","17875"
"High school diploma","59058","32153","26905"
"Some college","57201","31525","25676"
"Associate degree","29248","14130","15118"
"Bachelor's degree","251465","119385","132080"
"Master's degree","150874","69966","80908"
"Professional degree","34857","15202","19655"
"Doctorate","30573","13894","16679"
" -> Total -> Total Northeast Region -> Total Asian alone -> Total 35-44","618964","289905","329059"
"No high school diploma","55431","26174","29257"
"High school diploma","75021","33553","41468"
"Some college","44984","21751","23233"
"Associate degree","26710","11744","14966"
"Bachelor's degree","202113","92235","109878"
"Master's degree","142130","68801","73329"
"Professional degree","34760","14497","20263"
"Doctorate","37815","21150","16665"
" -> Total -> Total Northeast Region -> Total Asian alone -> Total 45-54","515609","237303","278306"
"No high school diploma","76841","33139","43702"
"High school diploma","89701","39925","49776"
"Some college","38027","17650","20377"
"Associate degree","29110","11949","17161"
"Bachelor's degree","146585","61673","84912"
"Master's degree","90390","47518","42872"
"Professional degree","21188","10513","10675"
"Doctorate","23767","14936","8831"
" -> Total -> Total Northeast Region -> Total Asian alone -> Total 55-64","427404","202499","224905"
"No high school diploma","90130","39635","50495"
"High school diploma","91457","44081","47376"
"Some college","37192","19091","18101"
"Associate degree","26148","10779","15369"
"Bachelor's degree","97848","44049","53799"
"Master's degree","48842","24034","24808"
"Professional degree","16120","8080","8040"
"Doctorate","19667","12750","6917"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone","21667","9672","11995"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 65+","2858","1305","1553"
"No high school diploma","723","299","424"
"High school diploma","647","140","507"
"Some college","301","19","282"
"Associate degree","275","275","0"
"Bachelor's degree","559","219","340"
"Master's degree","0","0","0"
"Professional degree","353","353","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total Under 18","5055","1548","3507"
"No high school diploma","4941","1548","3393"
"High school diploma","114","0","114"
"Some college","0","0","0"
"Associate degree","0","0","0"
"Bachelor's degree","0","0","0"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 18-24","4044","1692","2352"
"No high school diploma","88","88","0"
"High school diploma","1022","326","696"
"Some college","2306","1120","1186"
"Associate degree","56","56","0"
"Bachelor's degree","572","102","470"
"Master's degree","0","0","0"
"Professional degree","0","0","0"
"Doctorate","0","0","0"
" -> Total -> Total Northeast Region -> Total Native Hawaiian and Other Pacific Islander alone -> Total 25-34","2810","1412","1398"
"No high school diploma","405","101","304"
"High school diploma","582","479","103"
"Some college","611","174","437"
